title,label,label_score
terkait mayat bayi mengenaskan tangerang pria ditangkap polisi,non-clickbait,1
uang rp 16 raib parkiran kantor gubernur sumut honor tapd,non-clickbait,1
muncul istana tengah rekonsiliasi rusuh papua,non-clickbait,1
mayat ladang tebu malang begal dibunuh remaja dipalaknya,non-clickbait,1
jenguk bj habibie ketua dewan pers nuh prosesnya positif bagus,non-clickbait,1
pria depresi bakar mobilnya pembuangan,non-clickbait,1
kpk cegah ketua fraksi golkar melchias mekeng negeri,non-clickbait,1
detik detik kendaraan alami kecelakaan beruntun cipularang,clickbait,0
selidiki ular dibuang asrama papua polisi terganjal akses,non-clickbait,1
kronologi barista tikam siswi smk bandung cinta ditolak,non-clickbait,1
respons jk kpk sp3 disalahgunakan,non-clickbait,1
seluas jabar tantangan sintang siapkan generasi emas,clickbait,0
gadai sk wajar dprd surabaya bank melirik,non-clickbait,1
karyawan pabrik boneka keracunan polisi sita sayur nangka,non-clickbait,1
gubernur edy uang miliaran milik pemprov hilang,non-clickbait,1
giliran alumni unnes serukan tolak revisi uu kpk,non-clickbait,1
gadaikan sk anggota dprd jabar terima kredit rp 1 miliar,non-clickbait,1
tersangka eks dirut petral diduga terima suap usd 29 juta,non-clickbait,1
jaksa duit rp 25 juta kivlan zen modal matai wiranto luhut,non-clickbait,1
pemilihan capim kpk cacat yuridis saran samad dpr,clickbait,0
adik hoax habibie meninggal mbok gitu isengnya,non-clickbait,1
jk bicara kpk sp3 contohkan rj lino,non-clickbait,1
tidur siang 1 2 seminggu kurangi serangan jantung,non-clickbait,1
detik detik mencekam perampokan rumah makan gratis duafa bogor,clickbait,0
dirawat intensif rspad bj habibie salat berbaring,non-clickbait,1
cerita warga jepara mandi sehari akibat kekeringan,non-clickbait,1
jokowi terbang aceh wamena jauhnya london istanbul,non-clickbait,1
ganjil genap anies pengguna angkutan umum capai rekor,non-clickbait,1
video porno pasangan dewasa gegerkan sumedang,non-clickbait,1
jenguk bj habibie anies semoga allah turunkan mukjizat,non-clickbait,1
pengemudi melanggar 2 ganjil genap jaksel,non-clickbait,1
suasana antre ngalap berkat buka luwur sunan kudus,non-clickbait,1
curhatan korban bully pansel kpk komisi iii,non-clickbait,1
cerita ngeri bocah bogor dibunuh disodomi,non-clickbait,1
hindari razia wanita diduga psk makassar sembunyi selokan,non-clickbait,1
asrama mahasiswa papua dilempar karung berisi ular polisi hoaks,non-clickbait,1
beredar isu habibie meninggal keluarga hoax,non-clickbait,1
anggota dprd banten gadai sk komisi ii dpr tutup utang kampanye ,clickbait,0
komisi iii dpr revisi uu kpk barang surpres jokowi,non-clickbait,1
aduan penetapan tersangka veronica koman komnas ham,clickbait,0
hasil mediasi pt ka warga blitar pelintasan sebidang diportal,non-clickbait,1
korban cium pipi selfie tolak damai tersangka dihukum,non-clickbait,1
viral video korban kecelakaan maut nganjuk bikin video tabrakan,clickbait,0
kpk menolak revisi uu romli analogi servis mobil,non-clickbait,1
usaha perusahaan startup jerman raih talenta terbaik,non-clickbait,1
pekerja dibutuhkan pertambangan australia otomatisasi marak ,clickbait,0
kemarau warga bandung barat mandikan jenazah pakai 5 galon air,non-clickbait,1
pengacara kivlan zen jalani sidang ditunggu tunggu,clickbait,0
banyuwangi luncurkan kuliner pintar pedagangnya pakai kompor induksi,non-clickbait,1
opsi pdam surabaya 60 ribu pelanggan menikmati air,clickbait,0
alasan anggota dprd jabar gadaikan sk utang kampanye beli rumah,non-clickbait,1
remaja asahan alami kebutaan ngaku keseringan main game online,non-clickbait,1
hantu nikmatnya imajinasi,non-clickbait,1
dituduh hamili perempuan muda kades booking,clickbait,0
anggota komisi iii dpr kriteria penilaian capim kpk,non-clickbait,1
kebakaran melanda lereng gunung merbabu,non-clickbait,1
ketum fpi bingung dipanggil makar 17 april polisi,clickbait,0
bunuh begal memalaknya remaja malang jaga kehormatan pacarnya,non-clickbait,1
ormas garbi bertransformasi,non-clickbait,1
kendala pemprov jatim tertibkan tambang pasir sungai brantas,non-clickbait,1
harapan sri mulyani komarudin hidayat rektor ui 2019 2024,clickbait,0
kecelakaan maut lampung tewaskan 8,clickbait,0
lsm safenet ruu kks bikin bssn lembaga superbody ,clickbait,0
tutup usia profesor begawan hukum ruu kuhp disahkan,non-clickbait,1
viral pasangan abg depok berbuat mesum kontrakan digerebek polisi,clickbait,0
menhan pelaku pembacokan anggota tni papua nyaru pakai baju sma,non-clickbait,1
1 terduga teroris bekasi berasal cianjur warga kaget,non-clickbait,1
siswa pedagogi climate strike,non-clickbait,1
prabowo singgung angka stunting indonesia tinggi what is wrong ,clickbait,0
19 titik rekahan tanah ponorogo keluarkan api,non-clickbait,1
unggas jalan jalan tetangga kudus cekik,non-clickbait,1
mendamba udara bersih,non-clickbait,1
mengenaskan  15 sekeluarga tewas serangan arab saudi yaman,clickbait,0
pasal kriminalisasi muncul 75 ribu tukang gigi terancam nganggur,non-clickbait,1
prabowo keadilan salah anak anak turun jalan ,non-clickbait,1
hadiah nobel alternatif greta thunberg,non-clickbait,1
demo mahasiswa ditunggangi ,clickbait,0
viral api muncul tanah ponorogo,clickbait,0
pasukan asmaul husna polwan pendingin tensi demo surabaya,clickbait,0
sebelah batu bensin ambulans pemprov dki diamankan polisi ,clickbait,0
viral poster pelajar smk sidoarjo diajak demo polisi hoaks,non-clickbait,1
pospol tomang dibakar ,clickbait,0
hore  gunung sampah pinggir ciliwung cilebut dibersihkan minggu,clickbait,0
polisi mundur massa ditangkap palmerah,non-clickbait,1
cuitan tmcpoldametro ambulans bawa molotov pejompongan hilang,non-clickbait,1
legal mengkonsumsi wilayah rumah tanam 4 pohon ganja,clickbait,0
ngaku diperkosa laporan mahasiswi palsu,clickbait,0
upaya kembangkan ekonomi kreatif indonesia australia kerajinan tekstil,non-clickbait,1
gempa ambon kamis pagi 5 faktanya,clickbait,0
tok  dpr sahkan ruu bela negara uu,clickbait,0
bencana kemanusiaan mentalitas pasrah,non-clickbait,1
bahaya konsep domein verklaring ruu pertanahan,clickbait,0
imam nahrawi pb pmii inkonsistensi,non-clickbait,1
jokowi solusi diplomasi,non-clickbait,1
inovasi tim dentsu menang young spikes indonesia,clickbait,0
mulan jameela rebut kursi dpr daerah,non-clickbait,1
pasal pasal kontroversial ruu pertanahan,clickbait,0
massa kammi paksa pimpinan dprd jateng teken penolakan ruu ks,non-clickbait,1
demo dpr siang cek rekayasa lintasnya,clickbait,0
mesum disusupkan hacker layar lampu merah garut lenyap,non-clickbait,1
miris  gunung sampah 16 meter tepi sungai ciliwung cilebut bogor,clickbait,0
respons kampus yogya terkait aksi gejayan memanggil,non-clickbait,1
jokowi kumpulkan menko polhukam menkum ham bahas situasi keamanan ,clickbait,0
jabar sabet 3 penghargaan teknologi 2019,non-clickbait,1
koalisi parpol pilbup jember 2020 nama,non-clickbait,1
dpr dinilai toleran kekerasan seksual komisi viii nggak nyambung,non-clickbait,1
kecewa ditunda prof muladi suka kuhp penjajah ,non-clickbait,1
heboh layar digital lampu merah garut tampilkan kotor,clickbait,0
doa malas senin biar semangat pekan,clickbait,0
heboh babi masjid teriak si babi mati ditembak,non-clickbait,1
kronologi jambret loncat cengkareng drain ditemukan tewas,non-clickbait,1
pemerintah tuntaskan akar karhutla ngabalin baca uu,non-clickbait,1
peran tni ad majukan pulau terluar aceh simeulue,non-clickbait,1
heboh mesum layar digital lampu merah polisi dishub konsultasi,non-clickbait,1
program si manis manjakan kaum wanita malang urus sim,clickbait,0
menunggu jokowi theseus,clickbait,0
pengantin terduga teroris jakut tinggalkan surat wasiat,clickbait,0
gejayan memanggil aksi pergerakan mahasiswa yogyakarta,non-clickbait,1
ayah terduga teroris jakut anaknya simpan bahan peledak,non-clickbait,1
bekas terminal diusulkan gedung dishub ponorogo,non-clickbait,1
teka teki eks sesmenpora diperiksa kpk pengadilan,non-clickbait,1
alasan golkar rotasi anggotanya komisi xi jelang fit  proper bpk,clickbait,0
kedutaan canberra ngemplang denda parkir,non-clickbait,1
tjahjo satunya menteri negeri,non-clickbait,1
resmi  gibran rakabuming raka daftar kader pdip,non-clickbait,1
nasdem peluang usung gibran rakabuming pilwalkot solo,non-clickbait,1
kepalkan tangan ribuan mahasiswa bandung gelar aksi save kpk,non-clickbait,1
pengakuan pelajar demo dprd jatim izin sekolah,non-clickbait,1
sekolah purworejo ancam keluarkan siswa demo,non-clickbait,1
ruu pks beda nasib ruu kpk fakta faktanya,clickbait,0
penerbangan dubai terpaksa dialihkan drone,non-clickbait,1
kepala bnpb kesulitan padamkan api lahan gambut,non-clickbait,1
heboh timbangan beras bpnt berkurang pemkab sumedang,clickbait,0
darah juang bergema lokasi aksi gejayan memanggil,non-clickbait,1
prada deri dibui seumur hidup keluarga vera biar busuk penjara ,non-clickbait,1
paket mencurigakan stasiun kereta bandara manchester 1 pria ditangkap,non-clickbait,1
polres jajaran polda jatim polresta,non-clickbait,1
warga tanjungbalai sumut heboh temukan 4 buaya sungai,non-clickbait,1
pelajar demo dprd sulsel diamankan bawa ketapel busur,non-clickbait,1
demo jokowi panggil pejabat pejabat istana,clickbait,0
dpr sahkan ruu keamanan siber 30 september ,clickbait,0
driver taksi online kronologi pemukulan kokas,non-clickbait,1
ditunda ruu pks pidanakan siulan menggoda begal payudara,non-clickbait,1
sarapan makanan padat anak,clickbait,0
3 jenis diet organ intim sehat,clickbait,0
mengenal bahaya memakai baju dicuci,clickbait,0
pertengkaran pasangan memperkuat hubungan ,clickbait,0
jatuh cinta sewajarnya berujung menyakiti,non-clickbait,1
5 tips menyimpan uang membeli rumah,clickbait,0
tips kamar bayi hemat budget,clickbait,0
resep tumis pakcoy bawang putih praktis 2 bahan,non-clickbait,1
tips kemiri masakan sedap,non-clickbait,1
menikmati pameran lukisan random seniman muda farrah faustine,non-clickbait,1
5 mantra kekuatan extra women memperjuangkan passion,clickbait,0
penelitian membuktikan kebahagiaan istri tentukan keutuhan pernikahan,non-clickbait,1
polemik pb djarum kpai beasiswa eksploitasi ,clickbait,0
5 inspirasi masakan praktis terbuat daging ayam,clickbait,0
pilihan beragam profesi jenjang karier menjanjikan perusahaan asuransi,non-clickbait,1
cinta indah rumit,non-clickbait,1
sehari maksimalnya suami istri berhubungan intim ,clickbait,0
hindari kesalahan sepele bikin tidur nyenyak,non-clickbait,1
7 tahun kehilangan sahabat cinta,non-clickbait,1
tips menyimpan ragi aktif awet tahan,non-clickbait,1
raffi ahmad blak blakan kirim bunga desy ratnasari,clickbait,0
gading marten della dartyan sukses taklukkan adipati dolken,non-clickbait,1
momen romantis justin bieber hailey baldwin kencan pantai,non-clickbait,1
fans menduga camila cabello rilis lagu terbaru shawn mendes,non-clickbait,1
totalitas aaliyah massaid manggung on off festival,non-clickbait,1
cerita melahirkan sandra dewi lupa hamil posisi sungsang,non-clickbait,1
dian sastrowardoyo menyesal artis peran,non-clickbait,1
akibat pergaulan bebas bastian steel nikah muda anak,non-clickbait,1
4 album terlaris 2019 bts duduki posisi,clickbait,0
ari lasso tandai karier konser tunggal perjalanan,non-clickbait,1
fakta sandra dewi melahirkan anak,clickbait,0
serunya meet greet michelle ziudith megantara on off festival,clickbait,0
perempuan tanah jahanam seram pengabdi setan,non-clickbait,1
kabar hamil santer syahrini akui kurangi job nyanyi,non-clickbait,1
rencana taylor swift perjuangkan karyanya dirampas,non-clickbait,1
lantaran perannya film della dartyan relate zodiak sagitarius,non-clickbait,1
miley cyrus kaitlynn carter mesra publik,non-clickbait,1
lorong film comeback winky wiryawan ,clickbait,0
pribadi shandy aulia zodiak cancer,non-clickbait,1
fakta sidang perdana narkoba jefri nichol,non-clickbait,1
kandungan wajib toner sesuai kondisi kulit wajahmu,clickbait,0
9 perawatan kulit mengatasi bintik bintik gelap,clickbait,0
serba serbi penggunaan asam lemak kulit wajah,non-clickbait,1
5 rahasia kecantikan tradisional perempuan tiongkok,clickbait,0
inovasi perawatan kulit korea delapan langkah,clickbait,0
tips merawat menata rambut tipis bervolume,clickbait,0
rekomendasi essential oil kandungan tea tree kulit berjerawat,clickbait,0
4 manfaat alpukat kecantikan wajah rambut,clickbait,0
cari eksfoliasi kulit melakukannya,clickbait,0
